keys,zh,en,ja
TXT_SCORE,分数,SCORE,スコア
TXT_LEVEL,等级,LEVEL,レベル
TXT_LINES,消除行,LINES,ライン
TXT_GAME_OVER,游戏结束,GAME OVER,ゲームオーバー
TXT_HOLD,暂存,HOLD,ホールド
TXT_NEXT,下一个,NEXT,ネクスト
TXT_SETTINGS,设置,SETTINGS,設定
TXT_LANGUAGE,语言,LANGUAGE,言語
TXT_RESOLUTION,分辨率,RESOLUTION,解像度
TXT_FULLSCREEN,全屏,FULLSCREEN,フルスクリーン
TXT_MASTER_VOLUME,总体音量,MASTER VOLUME,全体音量
TXT_INITIALIZE,初始化,INITIALIZE,初期化
TXT_ENTER_NAME,输入用户名,ENTER NAME,名前を入力
TXT_CALLSIGN,用户名：,NAME:,名前：
TXT_CONNECTING,中继连接中...,CONNECTING TO RELAY...,リレーに接続中...
TXT_WELCOME,欢迎,WELCOME,ようこそ
TXT_MARATHON,马拉松模式,MARATHON,マラソン
TXT_MULTIPLAYER,多人对战,ONLINE,オンライン対戦
TXT_RESTART,重新开始,RESTART,リスタート
TXT_RETURN_LOBBY,返回大厅,RETURN LOBBY,ロビーへ戻る
TXT_MARATHON_DESC,一个人进行练习，熟悉操作、堆叠和节奏。,"PRACTICE SOLO\nBUILD CONTROL\nAND RHYTHM","一人で練習して\n操作・積み方・\nリズムを身につける"
TXT_MULTIPLAYER_DESC,连接服务器，与其他玩家进行 1v1 或多人对战。,"CONNECT ONLINE\nPLAY 1V1 OR\nMULTIPLAYER","サーバーに接続して\n1v1やマルチ対戦を\n遊ぶ"
TXT_OK,确定,OK,OK
TXT_CLOSE,关闭,CLOSE,閉じる
TXT_BLOCK_STYLE,方块风格,BLOCK STYLE,ブロックスタイル
TXT_BLOCK_STYLE_TITLE,更换方块风格,CHANGE BLOCK STYLE,ブロックスタイル変更
TXT_BLOCK_STYLE_TOOLTIP,更换方块风格,Change block style,ブロックスタイル変更
TXT_BLOCK_STYLE_HINT,只影响正常游玩和多人对战，不影响复盘浏览,Applies to normal play and multiplayer only. Replays stay unchanged.,通常プレイと対戦だけに反映。リプレイ表示は変わりません
TXT_BLOCK_STYLE_INNER,内线方块,INNER LINE,内側ライン
TXT_BLOCK_STYLE_INNER_DESC,当前默认对战风格,Current default battle style,現在の標準対戦スタイル
TXT_BLOCK_STYLE_SOLID,纯色方块,SOLID COLOR,単色ブロック
TXT_BLOCK_STYLE_SOLID_DESC,接近复盘模式的清晰纯色,Clear solid blocks inspired by replay mode,リプレイ風の見やすい単色
TXT_BLOCK_STYLE_GLASS,玻璃高光,GLASS LIGHT,グラスライト
TXT_BLOCK_STYLE_GLASS_DESC,明亮高光和轻微透明层次,Bright highlights with light layered depth,明るいハイライトと軽い奥行き
TXT_BLOCK_STYLE_PASTEL,粉彩柔光,PASTEL SOFT,パステルソフト
TXT_BLOCK_STYLE_PASTEL_DESC,低刺激的柔和配色,Soft low-glare colors,目にやさしい柔らかな色
TXT_BLOCK_STYLE_ARCADE,街机描边,ARCADE EDGE,アーケードエッジ
TXT_BLOCK_STYLE_ARCADE_DESC,清晰高对比像素边缘,Crisp high-contrast pixel edges,くっきり高コントラストの縁取り
TXT_MP_SETUP_TITLE,多人对战,MULTIPLAYER,マルチプレイヤー
TXT_SERVER_ADDRESS,服务器地址,SERVER ADDRESS,サーバーアドレス
TXT_SERVER_PORT,端口,PORT,ポート
TXT_LOGIN_NAME,登录用户名,PLAYER NAME,プレイヤー名
TXT_IP_PLACEHOLDER,例如: 127.0.0.1,Example: 127.0.0.1,例: 127.0.0.1
TXT_PORT_PLACEHOLDER,默认: 8998,Default: 8998,既定: 8998
TXT_NAME_PLACEHOLDER,请输入你的昵称,Enter your nickname,ニックネームを入力
TXT_CONNECT_SERVER,连接服务器,CONNECT SERVER,サーバー接続
TXT_READY,准备就绪,READY,準備完了
TXT_BACK_MAIN,返回主菜单,BACK TO MAIN,メインメニューへ戻る
TXT_ENTER_USERNAME,请输入用户名,Please enter a name,名前を入力してください
TXT_CONNECTING_SERVER,正在连接服务器...,Connecting to server...,サーバー接続中...
TXT_CONNECTED_LOGGING_IN,连接成功，正在登录...,Connected. Logging in...,接続成功。ログイン中...
TXT_DISCONNECTED,与服务器断开连接,Disconnected from server,サーバーから切断されました
TXT_LOGIN_SUCCESS_ENTER_LOBBY,登录成功！正在进入大厅...,Login successful! Entering lobby...,ログイン成功。ロビーへ移動中...
TXT_LOBBY_TITLE,游戏大厅,GAME LOBBY,ゲームロビー
TXT_LOBBY_FETCHING_ROOMS,正在获取房间列表...,Fetching room list...,ルーム一覧を取得中...
TXT_REFRESH_LIST,刷新列表,REFRESH LIST,一覧を更新
TXT_CREATE_ROOM,创建房间,CREATE ROOM,ルーム作成
TXT_CREATE_1V1_ROOM,创建1v1房间,CREATE 1v1 ROOM,1v1ルーム作成
TXT_CREATE_TETRIS33_ROOM,创建tetris33房间,CREATE tetris33 ROOM,tetris33ルーム作成
TXT_START_TETRIS33,开始tetris33,START tetris33,tetris33開始
TXT_CLOSE_ROOM,解散房间,CLOSE ROOM,ルーム解散
TXT_LEAVE_ROOM,离开房间,LEAVE ROOM,ルーム退出
TXT_CLOSING_ROOM,正在解散房间...,Closing room...,ルーム解散中...
TXT_LEAVING_ROOM,正在离开房间...,Leaving room...,ルーム退出中...
TXT_ROOM_CLOSED,房间已解散，已回到大厅等待状态,Room closed. Back in lobby.,ルームが解散されました。ロビーに戻りました。
TXT_ROOM_CLOSED_OWNER_LEFT,房主离开，房间已解散，已回到大厅等待状态,Host left. Room closed. Back in lobby.,ホストが退出したためルームが解散されました。ロビーに戻りました。
TXT_ROOM_LEFT,已离开房间,Left room,ルームから退出しました
TXT_ALREADY_IN_ROOM,你已经在房间中，不能创建或加入其他房间,You are already in a room.,すでにルーム内にいるため作成や参加はできません
TXT_TETRIS33_ROOM_INFO,tetris33房间：%d/%d，至少%d人可开始,tetris33 room %d/%d minimum %d to start,tetris33ルーム %d/%d 最低%d人で開始
TXT_TETRIS33_STARTING_REQUEST,正在开始tetris33...,Starting tetris33...,tetris33開始中...
TXT_TETRIS33_STARTING,tetris33即将开始...,tetris33 starting...,tetris33開始します...
TXT_TETRIS33_REMATCH_READY,比赛结束，等待重开确认,Match finished. Vote for rematch.,試合終了。再戦確認待ち
TXT_TETRIS33_REMATCH_WAITING,重开确认：%d/%d,Rematch votes: %d/%d,再戦確認：%d/%d
TXT_TETRIS33_REMATCH_DECLINED,有人返回大厅，不能重开,A player left. Rematch disabled.,退出者あり。再戦不可
TXT_YOU_ARE_HOST,你是房主,You are host.,あなたがホストです
TXT_WAITING_HOST,等待房主开始,Waiting for host.,ホストの開始を待っています
TXT_DISCONNECT_BACK,断开并返回,DISCONNECT AND BACK,切断して戻る
TXT_NO_ROOMS,当前没有房间，点击刷新或创建新房间,No rooms. Refresh or create a new room.,ルームがありません。更新または新規作成してください。
TXT_FOUND_ROOMS,找到 %d 个房间,Found %d rooms,ルームが %d 件見つかりました
TXT_ROOM_ENTRY,%s (%s) - 人数: %d/2,%s (%s) - Players: %d/2,%s (%s) - プレイヤー: %d/2
TXT_JOINING_ROOM,正在加入房间 %s...,Joining room %s...,ルーム %s に参加中...
TXT_ROOM_CREATED_WAIT,房间创建成功: %s\n等待对手加入...,Room created: %s\nWaiting for opponent...,ルーム作成成功: %s\n対戦相手を待機中...
TXT_ROOM_JOINED_PREP,成功加入房间: %s\n准备开始游戏...,Joined room: %s\nPreparing game...,ルーム参加成功: %s\nゲーム開始準備中...
TXT_OPPONENT_FOUND_STARTING,找到对手: %s！游戏即将开始...,Opponent found: %s! Starting soon...,対戦相手: %s が見つかりました。まもなく開始...
TXT_CREATING_ROOM,正在创建房间...,Creating room...,ルーム作成中...
TXT_ROOM_NAME_TEMPLATE,%s's room,%s's room,%s のルーム
TXT_PLAYER_LOCAL,你 (本地玩家),You (Local),あなた（ローカル）
TXT_WAITING_CONNECT,等待连接...,Waiting for connection...,接続待ち...
TXT_BATTLE_IN_PROGRESS,对战中...,Battle in progress...,対戦中...
TXT_YOU_LOST,你输了！,You lost!,あなたの負けです！
TXT_OPPONENT_DEFEATED,对手已阵亡，你赢了！,Opponent defeated. You win!,相手が倒れました。あなたの勝ちです！
TXT_OPPONENT_LEFT,对手已断开连接,Opponent disconnected,対戦相手が切断しました
TXT_CLICK_BACK_LOBBY,点击返回大厅,Click to return lobby,クリックしてロビーへ戻る
TXT_VICTORY,胜利！,Victory!,勝利！
TXT_OPPONENT_LEFT_TITLE,对手离开了,Opponent left,対戦相手が退出しました
TXT_REMATCH,再来一局,REMATCH,再戦
TXT_REMATCH_READY,已选择,READY,準備完了
TXT_REMATCH_WAITING,等待中,WAITING,待機中
TXT_REMATCH_DECLINED,已离开,LEFT,退出
TXT_YOU,你,You,あなた
TXT_PLAYER_STATS,玩家数据,PLAYER STATS,プレイヤーデータ
TXT_STATS_BUTTON,数据,DATA,データ
TXT_STATS_DESC,查看你的游戏统计与能力雷达,View your game stats and ability radar,ゲーム統計と能力レーダーを見る
TXT_BACK,返回,BACK,戻る
TXT_RADAR_SPEED,速度,SPEED,速度
TXT_RADAR_ATTACK,火力,ATTACK,火力
TXT_RADAR_EFFICIENCY,效率,EFFICIENCY,効率
TXT_RADAR_STRUCTURE,结构,STRUCTURE,構造
TXT_RADAR_STABILITY,稳定,STABILITY,安定
TXT_RADAR_VISION,视野,VISION,視野
TXT_STAT_PPS,每秒落块 (PPS),Pieces Per Second (PPS),秒間ブロック数 (PPS)
TXT_STAT_APM,每分钟攻击 (APM),Attack Per Minute (APM),分間攻撃数 (APM)
TXT_STAT_APP,每块攻击 (APP),Attack Per Piece (APP),ブロックあたりの攻撃 (APP)
TXT_STAT_KPP,每块按键 (KPP),Keys Per Piece (KPP),ブロックあたりのキー入力数 (KPP)
TXT_TOTAL_GAMES,总游戏数,TOTAL GAMES,総ゲーム数
TXT_TOTAL_TIME,累计时长,TOTAL TIME,累計時間
TXT_BEST_SCORE,最高分数,BEST SCORE,ハイスコア
TXT_RECENT_HISTORY,最近记录,RECENT HISTORY,最近の記録
